subscription_id,organization_name,plan_type,plan_name,daily_usage,usage_per_period,total_usage_in_period
sub_888f658ae900a38bf637f77e6c31,SmartDevices Inc.,Unlimited,Unlimited Plan,701.3858693333333,21041.57608,21041.57608
sub_1fd20e1589f547a79a1206d0527b,ACME Phone,Unlimited,Unlimited Data Plan,872.45537798481,26509.221100307688,344619.87430399994
sub_783a6025f40da265835767e52225,ACME Phone,Unlimited,Unlimited Data Plan,843.7098923495146,24829.176832,173804.237824
sub_ee0bdac205d72bc186f963eb9740,People Mobile,Unlimited,Ultra Unlimited,613.0134016,18390.402048,18390.402048
sub_b007ca04dbfb66799c145a21bca7,People Mobile,Unlimited,Ultra Unlimited,783.5175935999999,23505.527808,23505.527808
sub_fd9c6f292a6cbbdf26cc4e751c96,People Mobile,Unlimited,Ultra Unlimited,2529.3405184,75880.215552,75880.215552
sub_d02f2a718340fc086ac8888a5c43,SmartDevices Inc.,Unlimited,Unlimited Plan,707.9692051,21239.076152999998,21239.076152999998
sub_a1453578b4399157ee8b945e2d01,ACME Phone,Unlimited,Unlimited Data Plan,1074.802335006211,31462.39562472727,346086.35187199997
sub_d8e509ffafbced4d99e2313e0ec9,ACME Phone,Unlimited,Unlimited Data Plan,620.8391156363635,18211.28072533333,109267.68435199998
sub_175add703384df73887aec529745,People Mobile,Unlimited,Ultra Unlimited,4712.144554666666,141364.33664,141364.33664
sub_64d3dbb6d44e46ddcfd7fd61b341,People Mobile,Unlimited,Ultra Unlimited,4384.286173866667,131528.585216,131528.585216
sub_643170d9748d41715e1847a2e6a7,ACME Phone,Unlimited,Unlimited Data Plan,1022.9310139949367,31081.365425230768,404057.750528
sub_03a24941fbab79edf4c50dddf660,People Mobile,Unlimited,Ultra Unlimited,2540.8284672,76224.854016,76224.854016
sub_3940aa8d555869d8b6dd0f1db070,People Mobile,Unlimited,Ultra Unlimited,4657.558084266667,139726.742528,139726.742528
sub_aa41251bd8f5b3ce85452c2dc027,ACME Phone,Unlimited,Unlimited Data Plan,3244.290201121495,99182.58614857143,694278.10304
sub_a072bf76ba9b697404d983489ac9,People Mobile,Unlimited,Ultra Unlimited,2241.2681216,67238.043648,67238.043648
sub_09bf712ff9e02cb1b6a218423058,People Mobile,Unlimited,Ultra Unlimited,897.1887616,26915.662848,26915.662848
sub_ee37cb7caa1222df2df80544d116,People Mobile,Unlimited,Ultra Unlimited,1999.533294933333,59985.998847999996,59985.998847999996
sub_3f7ef87c4624f98b98a03162d0e9,People Mobile,Unlimited,Ultra Unlimited,893.4718464,26804.155392,26804.155392
sub_662ba999b7ea86cb0945fc6afa97,People Mobile,Unlimited,Ultra Unlimited,1939.2775850666667,58178.327552,58178.327552
sub_7f116b16210bed6abe5524943c18,ACME Phone,Unlimited,Unlimited Data Plan,1496.0089088000018,44880.26726400005,44880.26726400005
sub_3a03b129cced11c04ae874bbadc4,SmartDevices Inc.,Unlimited,Unlimited Plan,721.9168675333333,21657.506026,21657.506026
sub_10e638890e3bcf082eec29dbd1df,People Mobile,Unlimited,Ultra Unlimited,865.5771989333334,25967.315968000003,25967.315968000003
sub_97e6a05e6ec166442414a3b1cdeb,SmartDevices Inc.,Unlimited,Unlimited Plan,703.7536615,21112.609845,21112.609845
sub_92b95938cbf69d28f01c3c3e2168,People Mobile,Unlimited,Ultra Unlimited,2874.9811712,86249.435136,86249.435136
sub_a8f7af71fd0c302e8a76ff3df138,ACME Phone,Unlimited,Unlimited Data Plan,2670.694848,42731.117568,85462.235136
sub_e79634450c72207ff3423fc5d876,ACME Phone,Unlimited,Unlimited Data Plan,699.8987960655738,21346.91328,42693.82656
sub_7300629769aab35f0546a94cde3a,People Mobile,Unlimited,Ultra Unlimited,2220.130133333333,66603.904,66603.904
sub_aa0392c29968dfb8d256f10e42fd,People Mobile,Unlimited,Ultra Unlimited,1451.9362560000002,2903.8725120000004,2903.8725120000004
sub_5d4c6f75e4ca438ee5bdf5809f8c,People Mobile,Unlimited,Ultra Unlimited,1625.5788373333335,48767.36512,48767.36512
sub_a5b9a79d1394c994b5443a89824a,People Mobile,Unlimited,Ultra Unlimited,1390.3689045333333,41711.067136,41711.067136
sub_5f366a36aeb2f9cd73c2080ff46a,People Mobile,Unlimited,Ultra Unlimited,621.7409877333333,18652.229632,18652.229632
sub_e1c0420075e3d82739d68bc7443e,People Mobile,Unlimited,Ultra Unlimited,1442.0234240000002,20188.327936,20188.327936
sub_255a6b389ec8bb2303e812df8b9f,ACME Phone,Unlimited,Unlimited Data Plan,2764.1358045405404,81818.4198144,409092.099072
sub_fba657124a9185e8299a30f186df,People Mobile,Unlimited,Ultra Unlimited,605.2256768000001,18156.770304,18156.770304
sub_9c955939fc71c9b5cd922390f0d3,People Mobile,Unlimited,Ultra Unlimited,617.1627520000001,18514.882560000002,18514.882560000002
sub_452766519e93530433d7b39838da,People Mobile,Unlimited,Ultra Unlimited,1518.1864959999998,39472.848895999996,78945.69779199999
sub_b6905df26f4828b654d1e8257593,ACME Phone,Unlimited,Unlimited Data Plan,3629.6104447999996,108888.313344,217776.626688
sub_2de3c1bed3c22cd9891ca31e0fdb,People Mobile,Unlimited,Ultra Unlimited,1400.9158314666668,42027.474944,42027.474944
sub_a0c6c644735482885922a992cb4b,People Mobile,Unlimited,Ultra Unlimited,2445.517550933334,73365.52652800002,73365.52652800002
sub_f64835055367412bfdbe8dec9666,People Mobile,Unlimited,Ultra Unlimited,1121.3051562666667,33639.154688,33639.154688
sub_76dc08df80bc0dc56d9540bcb571,People Mobile,Unlimited,Ultra Unlimited,6292.485256533333,188774.557696,188774.557696
sub_a36776264862a3bd507278819ee1,People Mobile,Unlimited,Ultra Unlimited,4698.373256533333,140951.197696,140951.197696
sub_077b22b6e049cee307bfd4529f55,People Mobile,Unlimited,Ultra Unlimited,5842.436369066667,175273.091072,175273.091072
sub_5b8f77ba4745f226bb69a3c1b02b,People Mobile,Unlimited,Ultra Unlimited,1471.8571861333332,44155.715584,44155.715584
sub_53cefbabc5d306c2822367f9f149,People Mobile,Unlimited,Ultra Unlimited,1348.4299264,40452.897792,40452.897792
sub_b49826e98d364130405241c5c92e,People Mobile,Unlimited,Ultra Unlimited,648.8203093333333,7785.843712,7785.843712
sub_c4e9db81e6009d1b64eb03f7a949,People Mobile,Unlimited,Ultra Unlimited,3172.7393109333334,95182.179328,95182.179328
sub_64bf34cbeb05203d74ec510b6880,SmartDevices Inc.,Unlimited,Unlimited Plan,701.8072232333335,21054.216697000003,21054.216697000003
sub_04a4cbbe821497789fdfd651cce1,People Mobile,Unlimited,Ultra Unlimited,4436.808362666667,133104.25088,133104.25088
sub_6f4a60d2eec58556788a1cce4aa4,SmartDevices Inc.,Unlimited,Unlimited Plan,2347.7003418888885,21129.303076999997,21129.303076999997
sub_5fcca627b50c240370969c11e85b,People Mobile,No Allowance,No Allowances Plan,2228.4544568888887,40112.180223999996,40112.180223999996
sub_80315f707e56eb5e39eeb14e9a5f,People Mobile,Unlimited,Ultra Unlimited,1491.8904832,44756.714496,44756.714496
sub_58f79d5f604c3c6d560b30e4b4da,People Mobile,Unlimited,Ultra Unlimited,1759.2922112,52778.766336,52778.766336
sub_5cf5a0ee815ca068b5a35165fafd,People Mobile,Unlimited,Ultra Unlimited,6377.5258624,191325.775872,191325.775872
sub_347d6cabceeaad922aa95725f165,People Mobile,Unlimited,Ultra Unlimited,3392.6827008000005,101780.48102400001,101780.48102400001
sub_4d775b108eac1c2daa5808792d4d,People Mobile,Unlimited,Ultra Unlimited,761.2500650666666,22837.501952,22837.501952
sub_b5388792e8aafa04a6ac39de4e1d,People Mobile,Unlimited,Ultra Unlimited,2022.9639850666667,60688.919552,60688.919552
sub_5c686ff568f3d12a588978e50824,People Mobile,Unlimited,Ultra Unlimited,1937.1913557333332,58115.740672,58115.740672
sub_82b1bde20bb46c8b1cacb8d1927e,SmartDevices Inc.,Unlimited,Unlimited Plan,703.9061293333332,21117.183879999997,21117.183879999997
sub_ae0ccf3452d288120724b7afc39c,People Mobile,Unlimited,Ultra Unlimited,1488.9362090666666,44668.086272,44668.086272
sub_f3f1333925aa082d54bbc9e841a8,ACME Phone,Unlimited,Unlimited Data Plan,777.2224758278481,23615.60599630769,307002.877952
sub_8da48e48e44c1d0b638d84e5ad6b,People Mobile,Unlimited,Ultra Unlimited,1195.2168277333333,35856.504832,35856.504832
sub_d2132b072c5235be5f9b8fa6acd8,ACME Phone,Unlimited,Unlimited Data Plan,2574.080091577235,79152.96281599998,316611.85126399994
sub_e714e23c93ec3909f0553a28538d,ACME Phone,Unlimited,Unlimited Data Plan,725.2826219084967,22193.6482304,110968.24115199999
sub_55e673cf3af6f0948ba34fe7b6db,ACME Phone,Unlimited,Unlimited Data Plan,1565.969400222787,47581.37792984622,618557.9130880008
sub_f1a1ec6e9e1e6439174309b49775,ACME Phone,Unlimited,Unlimited Data Plan,865.347942706587,26275.110260363643,289026.21286400006
sub_b47d395d3e4ff2e9e0b70e0f8fea,SmartDevices Inc.,Unlimited,Unlimited Plan,654.5659705714288,4581.961794000002,4581.961794000002
sub_c15eb9d30ee30b4110652cbce7ad,ACME Phone,Unlimited,Unlimited Data Plan,1479.3767440516128,38217.23255466666,229303.39532799998
sub_03ce92c4a511e6eb11be0cdde4d0,People Mobile,Unlimited,Ultra Unlimited,2760.0234496,82800.703488,82800.703488
sub_2560f4f87db6ae3917abf7223b9f,People Mobile,Unlimited,Ultra Unlimited,1300.5206807272727,28611.454976,57222.909952
sub_d57f3aae8a88e98e902a44f7dfc9,People Mobile,Unlimited,Ultra Unlimited,615.3277781333333,18459.833344,18459.833344
sub_3c69576ceb75903bdc3a64f7d606,ACME Phone,Unlimited,Unlimited Data Plan,716.7275349333333,21501.826048,21501.826048
sub_dc081f0aa9953daf87f4ff0929bb,People Mobile,Unlimited,Ultra Unlimited,814.2166016,24426.498048,24426.498048
sub_893e84ce3e3a03ba518fef5dcfc4,People Mobile,Unlimited,Ultra Unlimited,878.0735487999999,26342.206464,26342.206464
sub_3ee1bb43449e5d720823be26b05d,People Mobile,Unlimited,Ultra Unlimited,1458.0149589333334,43740.448768,43740.448768
sub_d04203d03441c96754a434650f59,ACME Phone,Unlimited,Unlimited Data Plan,752.7889953464052,23035.343257599998,115176.716288
sub_e70c2bf736319c0fcf1094443e12,People Mobile,Unlimited,Ultra Unlimited,2322.843272533333,69685.298176,69685.298176
sub_6717e8ceda6815e844d325893cdb,People Mobile,Unlimited,Ultra Unlimited,1399.0301013333335,4197.090304,4197.090304
sub_9945927c9979b005da5f2e6bd862,ACME Phone,Unlimited,Unlimited Data Plan,816.4828016448599,24961.04565028572,174727.31955200003
sub_1d37bbec00e6c1c64d6b61ab0ed9,People Mobile,Unlimited,Ultra Unlimited,1129.2344661333334,33877.033984,33877.033984
sub_e09ef3181d5b492685a563296bcd,People Mobile,Unlimited,Ultra Unlimited,1166.2451712,34987.355136,34987.355136
sub_a4e78d9cf657de7e2eba9f8ec85e,People Mobile,Unlimited,Ultra Unlimited,1982.1508608000001,59464.525824000004,59464.525824000004
sub_6c52bc81e2c4717976650d2ea389,People Mobile,Unlimited,Ultra Unlimited,952.6280533333334,28578.8416,28578.8416
sub_1464a556f3b58fd5ff5a781b320d,People Mobile,Unlimited,Ultra Unlimited,1108.8325290666667,33264.975872,33264.975872
sub_5cac77ff53c6200bbaa7190e3e37,People Mobile,Unlimited,Ultra Unlimited,987.7214890666667,29631.644672,29631.644672
sub_648cd0195563b93291c4b59a02aa,ACME Phone,Unlimited,Unlimited Data Plan,731.4029006451613,22673.48992,22673.48992
sub_1cb30e7349ee33073b4175dcf903,People Mobile,Unlimited,Ultra Unlimited,732.9348949333333,21988.046848,21988.046848
sub_53a174788435748b1c44814ba303,People Mobile,Unlimited,Ultra Unlimited,1739.0193322666667,52170.579968,52170.579968
sub_721de74e39fbcd006c0fa7d1b820,People Mobile,Unlimited,Ultra Unlimited,3622.1897728,108665.693184,108665.693184
sub_ad17538b966af608e6c3c45e0eb2,SmartDevices Inc.,Unlimited,Unlimited Plan,719.2545161666669,21577.635485000006,21577.635485000006
sub_0ee1bfc99667b9e971a2839a732b,People Mobile,Unlimited,Ultra Unlimited,906.0887552,27182.662656,27182.662656
sub_3f938e8de2c2388111e9f3e2d8ea,People Mobile,Unlimited,Ultra Unlimited,721.3602133333334,21640.8064,21640.8064
sub_034a5a5a1e3e0e5b8b8765c66d6a,People Mobile,Unlimited,Ultra Unlimited,11748.004181333334,211464.075264,211464.075264
sub_cf57ee12e0c56ee062c925bd9789,People Mobile,Unlimited,Ultra Unlimited,4724.001587199999,141720.047616,141720.047616
sub_d3c8b6e4f32c96826a5d2db8f404,People Mobile,Unlimited,Ultra Unlimited,2188.0556544,65641.669632,65641.669632
sub_55f217f4bd1284738e3ecbf2d208,People Mobile,Unlimited,Ultra Unlimited,1031.5688789333333,30947.066368,61894.132736
sub_6ab3337709508b4b35d630a9f02e,People Mobile,Unlimited,Ultra Unlimited,3143.6150442666667,94308.451328,94308.451328
sub_21367498a6fca1b727729ea10936,SmartDevices Inc.,Unlimited,Unlimited Plan,713.3619096000001,21400.857288000003,21400.857288000003
sub_53961706f08fa28edca1d122bea4,People Mobile,Unlimited,Ultra Unlimited,1785.6533504000001,53569.600512000005,53569.600512000005
sub_4ed4f653679ba27aea370d1d78c9,SmartDevices Inc.,Unlimited,Unlimited Plan,715.0742676999998,21452.228030999995,21452.228030999995
sub_6fa441bd63e00e5aac73ee6fb406,People Mobile,Unlimited,Ultra Unlimited,2752.9071616,82587.214848,82587.214848
sub_a81f86b1231a7e0d78a1616c5034,ACME Phone,Unlimited,Unlimited Data Plan,1356.0644009056602,35935.706624,71871.413248
sub_5a277f4548eb389e3047fa889410,ACME Phone,Unlimited,Unlimited Data Plan,794.8155015629137,24003.428147199993,120017.14073599997
sub_f61be5ef8cf09bb538c1e3cfc970,ACME Phone,Unlimited,Unlimited Data Plan,716.3403738536585,22027.466496,88109.865984
